"Name","Geodaten"
"Brigantio ( = Szõny ~ Komárom)","POINT(18.169516 47.735245)"
"Lepavist ( = ? AlmásfüzitQ)","POINT(18.257799 47.727848)"
"Gardellaca ( = ~ Tokod)","POINT(18.66011 47.724148)"
"Lvsomana ( = ? Bicske)","POINT(18.636272 47.490761)"
"Aqvinco ( = Budapest, Aquincum)","POINT(19.049561 47.564007)"
"Vetvsallo ( = Adony)","POINT(18.865261 47.119576)"
"Annamatia ( = Baracs)","POINT(18.851389 46.904846)"
"Lvsiene ( = DunakömlQd)","POINT(18.877232 46.663616)"
"Altaripa ( = Tolna)","POINT(18.790262 46.423641)"
"Scarabantio ( = Sopron)","POINT(16.583054 47.684898)"
"Sabarie ( = Szombathely)","POINT(16.621918 47.235142)"
"Arrabone ( = ~ Körmend)","POINT(16.605717 47.011112)"
"Advicesimvm ( = Ver~ej)","POINT(16.162575 46.581692)"
"Petavione ( = Ptuj)","POINT(15.869981 46.419991)"
"Viscellis ( = ? Unterzeiring)","POINT(14.511731 47.25655)"
"Adponte̅ ( = Scheifling)","POINT(14.41215 47.150101)"
"Matvcaio ( = Treibach)","POINT(14.4767 46.869789)"
"Virvno ( = Maria Saal)","POINT(14.35155 46.684101)"
